;id;opath;cpath;mgeom;lon;lat;flow
337;10062007;18712;18712;LINESTRING(11.6156938777 48.1901893467,11.6156938777 48.1901893467);11.6156938777;48.1901893467;10
338;10416010;28619;28619;LINESTRING(11.5728290848 48.1774873654,11.5728290848 48.1774873654);11.5728290848;48.1774873654;12
339;4027011;781;781;LINESTRING(11.5384883528 48.1713969086,11.5384883528 48.1713969086);11.5384883528;48.1713969086;10
340;4138014;30542;30542;LINESTRING(11.5014202476 48.1031197666,11.5014202476 48.1031197666);11.5014202476;48.1031197666;6
341;11122004;790;790;LINESTRING(11.4576028712 48.1950789267,11.4576028712 48.1950789267);11.4576028712;48.1950789267;1
342;10597002;12478;12478;LINESTRING(11.5890701508 48.1410962382,11.5890701508 48.1410962382);11.5890701508;48.1410962382;7
343;10204005;25536;25536;LINESTRING(11.5738682959 48.1326512795,11.5738682959 48.1326512795);11.5738682959;48.1326512795;6
344;4168021;414;414;LINESTRING(11.4661114156 48.1486672131,11.4661114156 48.1486672131);11.4661114156;48.1486672131;20
345;10933006;14282;14282;LINESTRING(11.4879628908 48.179520086,11.4879628908 48.179520086);11.4879628908;48.179520086;10
346;10460005;28166;28166;LINESTRING(11.5263519427 48.0778914021,11.5263519427 48.0778914021);11.5263519427;48.0778914021;11
347;10560009;14274;14274;LINESTRING(11.6303604987 48.1535073131,11.6303604987 48.1535073131);11.6303604987;48.1535073131;11
348;10280029;14935;14935;LINESTRING(11.6132097079 48.1243518658,11.6132097079 48.1243518658);11.6132097079;48.1243518658;5
349;11178008;1150;1150;LINESTRING(11.5985822285 48.1357207578,11.5985822285 48.1357207578);11.5985822285;48.1357207578;12
350;4147012;325;325;LINESTRING(11.5658570889 48.112840069,11.5658570889 48.112840069);11.5658570889;48.112840069;33
351;10531001;13240;13240;LINESTRING(11.58695897 48.1230478254,11.58695897 48.1230478254);11.58695897;48.1230478254;13
352;10275006;4800;4800;LINESTRING(11.5528483725 48.1618493527,11.5528483725 48.1618493527);11.5528483725;48.1618493527;19
353;10070007;2211;2211;LINESTRING(11.579557078 48.1290584526,11.579557078 48.1290584526);11.579557078;48.1290584526;10
354;4150012;1541;1541;LINESTRING(11.5948282023 48.1746418391,11.5948282023 48.1746418391);11.5948282023;48.1746418391;4
355;10285010;3320;3320;LINESTRING(11.6160088798 48.154478803,11.6160088798 48.154478803);11.6160088798;48.154478803;3
356;4158011;29493;29493;LINESTRING(11.5368365834 48.1529270132,11.5368365834 48.1529270132);11.5368365834;48.1529270132;21
357;10416011;7101;7101;LINESTRING(11.5721889323 48.1778540211,11.5721889323 48.1778540211);11.5721889323;48.1778540211;36
358;14043050;29441;29441;LINESTRING(11.6260814563 48.2212084406,11.6260814563 48.2212084406);11.6260814563;48.2212084406;1
359;10534009;26777;26777;LINESTRING(11.5217418766 48.0904828091,11.5217418766 48.0904828091);11.5217418766;48.0904828091;5
360;4006012;2679;2679;LINESTRING(11.5704180347 48.1873720915,11.5704180347 48.1873720915);11.5704180347;48.1873720915;50
361;4153021;28448;28448;LINESTRING(11.4565502443 48.1518000794,11.4565502443 48.1518000794);11.4565502443;48.1518000794;21
362;4072012;1754;1754;LINESTRING(11.6859658188 48.1421645427,11.6859658188 48.1421645427);11.6859658188;48.1421645427;16
363;11028002;2621;2621;LINESTRING(11.5812131243 48.167141554,11.5812131243 48.167141554);11.5812131243;48.167141554;2
364;4049012;1766;1766;LINESTRING(11.6881105763 48.1383037497,11.6881105763 48.1383037497);11.6881105763;48.1383037497;2
